import time: self [us] | cumulative | imported package
import time:       200 |        200 |                 oauthlib.oauth2.rfc6749.clients.base
import time:       201 |        807 |               oauthlib.oauth2.rfc6749.clients.backend_application
import time:       135 |        135 |               oauthlib.oauth2.rfc6749.clients.legacy_application
import time:       128 |        128 |               oauthlib.oauth2.rfc6749.clients.mobile_application
import time:       136 |        136 |               oauthlib.oauth2.rfc6749.clients.service_application
import time:       134 |        134 |               oauthlib.oauth2.rfc6749.clients.web_application
import time:       178 |       7028 |             oauthlib.oauth2.rfc6749.clients
import time:       198 |        198 |               oauthlib.oauth2.rfc8628.clients.device
import time:       135 |        333 |             oauthlib.oauth2.rfc8628.clients
import time:       277 |        277 |               oauthlib.oauth2.rfc8628.endpoints.device_authorization
import time:       177 |        177 |                             oauthlib.openid.connect
import time:       180 |        357 |                           oauthlib.openid.connect.core
import time:       160 |        160 |                                 oauthlib.openid.connect.core.grant_types.base
import time:       192 |        352 |                               oauthlib.openid.connect.core.grant_types.authorization_code
import time:       174 |        174 |                               oauthlib.openid.connect.core.grant_types.dispatchers
import time:       136 |        136 |                                 oauthlib.openid.connect.core.request_validator
import time:       138 |        274 |                               oauthlib.openid.connect.core.grant_types.hybrid
import time:       137 |        137 |                               oauthlib.openid.connect.core.grant_types.implicit
import time:       120 |        120 |                               oauthlib.openid.connect.core.grant_types.refresh_token
import time:       143 |       1198 |                             oauthlib.openid.connect.core.grant_types
import time:       126 |        126 |                             oauthlib.openid.connect.core.tokens
import time:       136 |        136 |                             oauthlib.openid.connect.core.endpoints.userinfo
import time:       200 |       1658 |                           oauthlib.openid.connect.core.endpoints.pre_configured
import time:       175 |       2189 |                         oauthlib.openid.connect.core.endpoints
import time:       125 |       2314 |                       oauthlib.openid
import time:        10 |       2323 |                     oauthlib.openid.connect
import time:         9 |       2331 |                   oauthlib.openid.connect.core
import time:        15 |       2346 |                 oauthlib.openid.connect.core.request_validator
import time:       145 |       2491 |               oauthlib.oauth2.rfc8628.endpoints.pre_configured
import time:       139 |       2906 |             oauthlib.oauth2.rfc8628.endpoints
import time:       258 |      10778 |           oauthlib.oauth2
import time:       156 |        156 |           flet.version
import time:       250 |      73814 |         flet.auth.authorization_service
import time:      4524 |     140443 |       flet.controls.page
import time:       109 |        109 |         flet.messaging
import time:       499 |        499 |         flet.controls.object_patch
import time:       335 |        335 |               msgpack.exceptions
import time:       361 |        361 |               msgpack.ext
import time:       557 |        557 |               msgpack._cmsgpack
import time:       244 |       1497 |             msgpack
import time:      2118 |       3615 |           flet.messaging.protocol
import time:       210 |        210 |                 flet.pubsub.pubsub_hub
import time:       219 |        428 |               flet.pubsub.pubsub_client
import time:       201 |        629 |             flet.pubsub
import time:        31 |        659 |           flet.pubsub.pubsub_hub
import time:       188 |       4461 |         flet.messaging.connection
import time:       150 |        150 |         flet.messaging.session_store
import time:       351 |       5569 |       flet.messaging.session
import time:       157 |        157 |       flet.utils.pip
import time:       485 |     182919 |     flet.app
import time:       167 |        167 |     flet.components.component_decorator
import time:       496 |        496 |       flet.components.hooks.use_memo
import time:       143 |        639 |     flet.components.hooks.use_callback
import time:       420 |        420 |     flet.components.hooks.use_context
import time:       420 |        420 |     flet.components.hooks.use_ref
import time:       419 |        419 |     flet.components.hooks.use_state
import time:       154 |        154 |     flet.components.memo
import time:      1057 |       1057 |     flet.controls.core.animated_switcher
import time:       820 |        820 |     flet.controls.core.autofill_group
import time:      1000 |       1000 |     flet.controls.core.column
import time:      1573 |       1573 |       flet.controls.material.snack_bar
import time:      1623 |       3196 |     flet.controls.core.dismissible
import time:       668 |        668 |       flet.controls.core.draggable
import time:      1638 |       2305 |     flet.controls.core.drag_target
import time:       995 |        995 |     flet.controls.core.flet_app
import time:      4925 |       4925 |       flet.controls.events
import time:      3006 |       7930 |     flet.controls.core.gesture_detector
import time:      1127 |       1127 |     flet.controls.core.grid_view
import time:       934 |        934 |     flet.controls.core.icon
import time:      1627 |       1627 |     flet.controls.core.image
import time:      1256 |       1256 |     flet.controls.core.interactive_viewer
import time:      1248 |       1248 |     flet.controls.core.keyboard_listener
import time:      1177 |       1177 |     flet.controls.core.list_view
import time:       682 |        682 |         flet.controls.core.text_span
